Date,Forecasted_Sales
2025-01-01,590.8335137389917
2025-01-02,584.3126798847945
2025-01-03,567.4820782170495
2025-01-04,551.1793506665272
2025-01-05,562.7196397697242
2025-01-06,573.7702894009377
2025-01-07,590.2869429724982
2025-01-08,590.2555814654337
2025-01-09,583.6519036407744
2025-01-10,566.7583792467526
2025-01-11,550.4136004639263
2025-01-12,561.9331737260686
2025-01-13,572.9844186826114
2025-01-14,589.5224766076782
2025-01-15,589.5323701790156
2025-01-16,582.9884162440849
2025-01-17,566.1713213846441
2025-01-18,549.9175842767223
2025-01-19,561.5404455335661
2025-01-20,572.7046501828785
2025-01-21,589.3626233506438
2025-01-22,589.496599270579
2025-01-23,583.0781034110855
2025-01-24,566.3851157329511
2025-01-25,550.2515373524258
2025-01-26,561.9881996955778
2025-01-27,573.2576798561327
2025-01-28,590.0105214883085
2025-01-29,590.2274003425089
2025-01-30,583.878633477318
