Date,Forecasted_Sales
2025-01-01,598.744828357574
2025-01-02,593.0907774852692
2025-01-03,577.2044735006186
2025-01-04,562.2917870779406
2025-01-05,572.7432535904658
2025-01-06,585.1439468157286
2025-01-07,603.5815945050066
2025-01-08,604.2630469451531
2025-01-09,599.1015111210859
2025-01-10,583.7661975511186
2025-01-11,569.4481660162576
2025-01-12,580.521811214895
2025-01-13,593.5551609455562
2025-01-14,612.6184403808713
2025-01-15,613.9010015098976
2025-01-16,609.2990179917526
2025-01-17,594.4655801534234
2025-01-18,580.5769643780734
2025-01-19,591.9945066311168
2025-01-20,605.2752424389888
2025-01-21,624.4807578750615
2025-01-22,625.794343133716
2025-01-23,621.1088431631479
2025-01-24,606.0768361789229
2025-01-25,591.8769123660512
2025-01-26,602.8754825858136
2025-01-27,615.6372814736034
2025-01-28,634.2340134834637
2025-01-29,634.8612392774677
2025-01-30,629.4259043895125
